"","RK","PLAYER","TEAM","GP","MPG","PTS","FGM.FGA","FG.","X3PM.3PA","X3P.","FTM.FTA","FT."
"1","1","James Harden, PG","HOU","45","36.0","41.7","12.5-27.9",".449","5.4-14.1",".380","11.3-13.1",".866"
"2","2","Stephen Curry, PG","GS","39","33.1","39.6","12.5-25.4",".491","6.1-14.7",".417","8.6-9.4",".913"
"3","3","Giannis Antetokounmpo, PF","MIL","49","37.0","36.2","13.2-24.4",".541","0.7-2.2",".305","9.1-12.0",".759"
"4","4","Kyrie Irving, PG","BOS","49","32.8","36.1","13.2-27.2",".486","3.9-9.8",".401","5.8-6.5",".886"
"5","5","Kevin Durant, SF","GS","46","34.8","36.0","12.8-24.7",".516","3.5-8.5",".415","6.9-7.8",".885"
"6","6","Joel Embiid, C","PHI","41","31.7","35.9","12.6-25.7",".488","1.4-4.9",".293","9.3-11.9",".788"
"7","7","Anthony Davis, PF","NO","47","36.4","35.3","12.9-23.9",".542","0.9-2.6",".344","8.5-10.4",".822"
"8","8","Lou Williams, SG","LAC","51","32.5","34.4","10.9-24.9",".439","4.1-10.9",".380","8.4-9.3",".900"
"9","9","LeBron James, SF","CLE","52","36.8","34.2","13.1-24.1",".543","2.2-6.2",".353","5.9-7.8",".748"
"10","10","Devin Booker, SG","PHX","43","34.0","34.1","11.4-26.4",".431","3.7-9.6",".381","7.6-8.5",".896"
"11","RK","PLAYER","TEAM","GP","MPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA","FT%"
"12","11","Russell Westbrook, PG","OKC","55","36.1","34.0","12.8-28.8",".445","1.8-5.9",".305","6.5-9.1",".717"
"13","12","DeMar DeRozan, SG","TOR","53","34.3","33.9","11.9-25.5",".465","1.6-4.8",".337","8.6-10.4",".827"
"14","13","Kristaps Porzingis, PF","NY","48","32.4","33.6","12.1-27.5",".439","2.8-7.0",".395","6.7-8.5",".793"
