"","RK","PLAYER","TEAM","GP","MPG","PTS","FGM.FGA","FG.","X3PM.3PA","X3P.","FTM.FTA","FT."
"1","1","James Harden, PG","HOU","45","36.0","1407","422-940",".449","181-476",".380","382-441",".866"
"2","2","Russell Westbrook, PG","OKC","55","36.1","1405","530-1190",".445","74-243",".305","271-378",".717"
"3","3","Giannis Antetokounmpo, PF","MIL","49","37.0","1367","499-922",".541","25-82",".305","344-453",".759"
"4","4","LeBron James, SF","CLE","52","36.8","1366","522-961",".543","88-249",".353","234-313",".748"
"5","5","Bradley Beal, SG","WSH","54","36.1","1287","468-1005",".466","132-353",".374","219-278",".788"
"6","6","DeMar DeRozan, SG","TOR","53","34.3","1284","449-966",".465","61-181",".337","325-393",".827"
"7","7","Anthony Davis, PF","NO","47","36.4","1258","461-851",".542","32-93",".344","304-370",".822"
"8","8","DeMarcus Cousins, C","NO","48","36.2","1210","406-864",".470","104-294",".354","294-394",".746"
"9","","Kyrie Irving, PG","BOS","49","32.8","1210","442-910",".486","132-329",".401","194-219",".886"
"10","10","Kevin Durant, SF","GS","46","34.8","1198","425-824",".516","117-282",".415","231-261",".885"
"11","RK","PLAYER","TEAM","GP","MPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA","FT%"
"12","11","Lou Williams, SG","LAC","51","32.5","1186","377-859",".439","143-376",".380","289-321",".900"
"13","12","Damian Lillard, PG","POR","47","36.4","1181","383-867",".442","138-376",".367","277-303",".914"
"14","13","Victor Oladipo, SG","IND","49","34.4","1178","428-878",".487","117-300",".390","205-254",".807"
"15","14","LaMarcus Aldridge, PF","SA","52","34.1","1166","459-926",".496","25-75",".333","223-266",".838"
"16","15","Kemba Walker, PG","CHA","51","35.0","1155","383-904",".424","141-384",".367","248-293",".846"
"17","","CJ McCollum, SG","POR","53","36.0","1155","441-971",".454","133-313",".425","140-162",".864"
"18","17","Paul George, SF","OKC","52","36.5","1146","387-867",".446","166-389",".427","206-252",".817"
"19","18","Karl-Anthony Towns, C","MIN","56","35.2","1115","416-767",".542","81-197",".411","202-240",".842"
"20","19","Jimmy Butler, SG","MIN","50","37.0","1103","371-779",".476","60-165",".364","301-349",".862"
"21","20","Kristaps Porzingis, PF","NY","48","32.4","1088","390-889",".439","90-228",".395","218-275",".793"
"22","RK","PLAYER","TEAM","GP","MPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA","FT%"
"23","21","Stephen Curry, PG","GS","39","33.1","1066","335-682",".491","165-396",".417","231-253",".913"
"24","22","Klay Thompson, SG","GS","53","34.3","1065","416-849",".490","172-382",".450","61-71",".859"
"25","","Khris Middleton, SF","MIL","53","36.9","1065","391-843",".464","98-282",".348","185-214",".864"
"26","24","Devin Booker, SG","PHX","43","34.0","1038","347-805",".431","112-294",".381","232-259",".896"
"27","25","TJ Warren, SF","PHX","52","32.4","1021","423-844",".501","16-79",".203","159-212",".750"
"28","26","Andrew Wiggins, SF","MIN","56","36.1","1001","391-893",".438","75-235",".319","144-227",".634"
"29","27","Dennis Schroder, PG","ATL","51","31.3","989","383-886",".432","54-192",".281","169-193",".876"
"30","28","Jrue Holiday, PG","NO","53","36.8","985","390-795",".491","84-259",".324","121-150",".807"
"31","29","Harrison Barnes, SF","DAL","53","34.7","975","367-815",".450","73-210",".348","168-204",".824"
"32","30","Joel Embiid, C","PHI","41","31.7","972","340-697",".488","39-133",".293","253-321",".788"
"33","RK","PLAYER","TEAM","GP","MPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA","FT%"
"34","31","Donovan Mitchell, SG","UTAH","50","31.7","966","359-802",".448","115-324",".355","133-159",".836"
"35","32","Marc Gasol, C","MEM","52","34.0","928","319-766",".416","74-223",".332","216-255",".847"
"36","33","Carmelo Anthony, PF","OKC","54","32.2","916","343-833",".412","109-314",".347","121-156",".776"
"37","34","Tobias Harris, SF","DET/LAC","50","32.7","911","339-748",".453","117-287",".408","116-140",".829"
"38","35","Eric Gordon, SG","HOU","48","32.1","910","303-717",".423","147-438",".336","157-193",".813"
"39","36","Tyreke Evans, SG","MEM","46","31.1","899","329-719",".458","98-250",".392","143-179",".799"
"40","37","Gary Harris, SG","DEN","50","35.0","880","329-673",".489","120-302",".397","102-122",".836"
"41","38","Jamal Murray, PG","DEN","53","30.2","878","316-694",".455","105-275",".382","141-151",".934"
"42","39","Kevin Love, PF","CLE","48","28.0","857","278-601",".463","105-260",".404","196-222",".883"
"43","40","Dwight Howard, C","CHA","53","31.1","847","314-574",".547","0-4",".000","219-397",".552"
