"","RK","PLAYER","TEAM","GP","MPG","PTS","FGM.FGA","FG.","X3PM.3PA","X3P.","FTM.FTA","FT."
"1","1","James Harden, PG","HOU","45","36.0","31.3","9.4-20.9",".449","4.0-10.6",".380","8.5-9.8",".866"
"2","2","Giannis Antetokounmpo, PF","MIL","49","37.0","27.9","10.2-18.8",".541","0.5-1.7",".305","7.0-9.2",".759"
"3","3","Stephen Curry, PG","GS","39","33.1","27.3","8.6-17.5",".491","4.2-10.2",".417","5.9-6.5",".913"
"4","4","Anthony Davis, PF","NO","47","36.4","26.8","9.8-18.1",".542","0.7-2.0",".344","6.5-7.9",".822"
"5","5","LeBron James, SF","CLE","52","36.8","26.3","10.0-18.5",".543","1.7-4.8",".353","4.5-6.0",".748"
"6","6","Kevin Durant, SF","GS","46","34.8","26.0","9.2-17.9",".516","2.5-6.1",".415","5.0-5.7",".885"
"7","7","Russell Westbrook, PG","OKC","55","36.1","25.5","9.6-21.6",".445","1.3-4.4",".305","4.9-6.9",".717"
"8","8","DeMarcus Cousins, C","NO","48","36.2","25.2","8.5-18.0",".470","2.2-6.1",".354","6.1-8.2",".746"
"9","9","Damian Lillard, PG","POR","47","36.4","25.1","8.1-18.4",".442","2.9-8.0",".367","5.9-6.4",".914"
"10","10","Kyrie Irving, PG","BOS","49","32.8","24.7","9.0-18.6",".486","2.7-6.7",".401","4.0-4.5",".886"
"11","RK","PLAYER","TEAM","GP","MPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA","FT%"
"12","11","DeMar DeRozan, SG","TOR","53","34.3","24.2","8.5-18.2",".465","1.2-3.4",".337","6.1-7.4",".827"
"13","12","Devin Booker, SG","PHX","43","34.0","24.1","8.1-18.7",".431","2.6-6.8",".381","5.4-6.0",".896"
"14","13","Victor Oladipo, SG","IND","49","34.4","24.0","8.7-17.9",".487","2.4-6.1",".390","4.2-5.2",".807"
"15","14","Bradley Beal, SG","WSH","54","36.1","23.8","8.7-18.6",".466","2.4-6.5",".374","4.1-5.1",".788"
"16","15","Joel Embiid, C","PHI","41","31.7","23.7","8.3-17.0",".488","1.0-3.2",".293","6.2-7.8",".788"
"17","16","Lou Williams, SG","LAC","51","32.5","23.3","7.4-16.8",".439","2.8-7.4",".380","5.7-6.3",".900"
"18","17","Kristaps Porzingis, PF","NY","48","32.4","22.7","8.1-18.5",".439","1.9-4.8",".395","4.5-5.7",".793"
"19","18","Kemba Walker, PG","CHA","51","35.0","22.6","7.5-17.7",".424","2.8-7.5",".367","4.9-5.7",".846"
"20","19","LaMarcus Aldridge, PF","SA","52","34.1","22.4","8.8-17.8",".496","0.5-1.4",".333","4.3-5.1",".838"
"21","20","Jimmy Butler, SG","MIN","50","37.0","22.1","7.4-15.6",".476","1.2-3.3",".364","6.0-7.0",".862"
"22","RK","PLAYER","TEAM","GP","MPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA","FT%"
"23","21","Paul George, SF","OKC","52","36.5","22.0","7.4-16.7",".446","3.2-7.5",".427","4.0-4.8",".817"
"24","22","CJ McCollum, SG","POR","53","36.0","21.8","8.3-18.3",".454","2.5-5.9",".425","2.6-3.1",".864"
"25","23","Klay Thompson, SG","GS","53","34.3","20.1","7.8-16.0",".490","3.2-7.2",".450","1.2-1.3",".859"
"26","","Khris Middleton, SF","MIL","53","36.9","20.1","7.4-15.9",".464","1.8-5.3",".348","3.5-4.0",".864"
"27","25","Karl-Anthony Towns, C","MIN","56","35.2","19.9","7.4-13.7",".542","1.4-3.5",".411","3.6-4.3",".842"
"28","26","TJ Warren, SF","PHX","52","32.4","19.6","8.1-16.2",".501","0.3-1.5",".203","3.1-4.1",".750"
"29","27","Tyreke Evans, SG","MEM","46","31.1","19.5","7.2-15.6",".458","2.1-5.4",".392","3.1-3.9",".799"
"30","28","Dennis Schroder, PG","ATL","51","31.3","19.4","7.5-17.4",".432","1.1-3.8",".281","3.3-3.8",".876"
"31","29","Donovan Mitchell, SG","UTAH","50","31.7","19.3","7.2-16.0",".448","2.3-6.5",".355","2.7-3.2",".836"
"32","30","Eric Gordon, SG","HOU","48","32.1","19.0","6.3-14.9",".423","3.1-9.1",".336","3.3-4.0",".813"
"33","RK","PLAYER","TEAM","GP","MPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA","FT%"
"34","31","Jrue Holiday, PG","NO","53","36.8","18.6","7.4-15.0",".491","1.6-4.9",".324","2.3-2.8",".807"
"35","32","Aaron Gordon, PF","ORL","39","34.0","18.4","6.7-15.0",".447","2.0-5.8",".346","3.0-4.2",".718"
"36","","Harrison Barnes, SF","DAL","53","34.7","18.4","6.9-15.4",".450","1.4-4.0",".348","3.2-3.8",".824"
"37","34","Tobias Harris, SF","DET/LAC","50","32.7","18.2","6.8-15.0",".453","2.3-5.7",".408","2.3-2.8",".829"
"38","35","Andrew Wiggins, SF","MIN","56","36.1","17.9","7.0-15.9",".438","1.3-4.2",".319","2.6-4.1",".634"
"39","","Kevin Love, PF","CLE","48","28.0","17.9","5.8-12.5",".463","2.2-5.4",".404","4.1-4.6",".883"
"40","37","Marc Gasol, C","MEM","52","34.0","17.8","6.1-14.7",".416","1.4-4.3",".332","4.2-4.9",".847"
"41","","Evan Fournier, SF","ORL","45","32.4","17.8","6.5-14.1",".458","2.2-5.7",".387","2.6-3.0",".869"
"42","39","Gary Harris, SG","DEN","50","35.0","17.6","6.6-13.5",".489","2.4-6.0",".397","2.0-2.4",".836"
"43","40","Goran Dragic, PG","MIA","49","31.8","17.1","6.4-14.7",".438","1.5-4.2",".353","2.8-3.7",".758"
